,Name,Position,Education
0,A V Subramanyam,"Associate Professor (ECE, CSE)","PhD (2012), Nanyang Technological University, Singapore"
1,Aasim Khan,"Head, Assistant Professor (SSH)","PhD (2018), King's College, London"
2,Aman Parnami,"Head (HCD), Assistant Professor (HCD)","PhD (2017), Georgia Institute of Technology, Atlanta"
3,Amarjeet Singh(on Leave),"Assistant Professor (CSE, ECE)","PhD (2009), University of California, Los Angeles, USA"
4,Anand Srivastava,"Associate Professor (ECE, CSE)","PhD (2003), IIT-Delhi"
5,Angshul Majumdar,Associate Professor (ECE),"PhD (2012), University of British Columbia"
6,Anubha Gupta,Assistant Professor (CSE),"PhD (2006), IIT-Delhi"
7,Anuj Grover,Assistant Professor (CB),"PhD (2015), IIT-Delhi"
8,Anuradha Sharma,Assistant Professor (CSE),"PhD (2006), Panjab University, Chandigarh, India"
9,Arani Bhattacharya,Assistant Professor (Math),"PhD (2019), Stony Brook University"
10,Arjun Ray,Assistant Professor (CSE),"PhD (2018), CSIR-IGIB"
11,Arun Balaji Buduru,"Associate Professor (CB, CSE)","PhD (2016),  Arizona State University, USA"
12,Ashish Kumar Pandey,Assistant Professor (Math),"PhD (2018), The University of Illinois at Urbana-Champaign, USA."
13,Debajyoti Bera,"Associate Professor (CSE, Math)","PhD (2009), Boston University, USA"
14,Debarka Sengupta,Associate  Professor (CB),"PhD (2014), Jadavpur University"
15,Debika Banerjee,Assistant Professor (CB)," PhD (2017), Harish-Chandra Research Institute, Allahabad"
16,Donghoon Chang,Assistant Professor (SSH),"PhD (2008), Korea University, Korea"
17,G.P.S. Raghava,Assistant Professor (SSH),"PhD (1996), Institute of Microbial Technology, Chandigarh. "
18,Ganesh Bagler,Assistant Professor (ECE),"PhD (2007), CSIR-Centre for Cellular and Molecular Biology"
19,Gaurav Ahuja,Assistant Professor (HCD),"PhD (2015), University of Cologne, Germany"
20,Gaurav Arora,"Assistant Professor (CSE, HCD)","PhD (2017), Iowa State University"
21,Gayatri Nair,Assistant Professor,"PhD (2016), Jawaharlal Nehru University, New Delhi"
22,Gourab Ghatak,Assistant Professor (CSE),"PhD (2019), Wireless Communications, CEA-LETI and Telecom ParisTech, France"
23,Grace Eden,Assistant Professor (Math),"PhD (2018), Universitat Rovira i Virgili (URV), Spain"
24,Jainendra Shukla,Assistant Professor (SSH),"PhD (2019), IIT Delhi"
